Date,Mintemp,Maxtemp,Rainfall,Evaporation,Sunshine,dir_wind_gust,speed_max_wind_gust,time_max_wind_gust,Namtemp,Namrelhum,Namcloudam,Namwinddir,Namwindspeed,NamMsl,Tpmtemp,Tpmrelhum,Tpmcloudam,Tpmwinddir,Tpmwindspeed,TpmMsl
01-06-2017,-4.2,13,0,,,SSE,33,10.46,5.4,70,,N,6,1034.9,12.4,39,,NW,9,1033
02-06-2017,-5.1,12.9,0,,,SSW,35,10.32,2.7,86,, ,Calm,1035.9,12,48,,SSE,17,1033.1
03-06-2017,-4.2,15.4,0,,,W,19,14.09,5.4,82,, ,Calm,1033.9,14.5,51,1,NNW,13,1030.6
04-06-2017,-3.3,13.9,0.2,,,NNW,20,14.33,1.2,99,8,N,4,1030.1,13.3,50,,NW,13,1025.6
05-06-2017,-3.8,12.7,0,,,NNW,24,15.16,1.4,96,, ,Calm,1026.8,12.5,55,,NNW,15,1022.8
06-06-2017,-3.2,12.8,0.2,,,SSE,56,23.25,5.6,84,8,S,7,1021.6,10.1,54,8,S,22,1020.8
07-06-2017,5.6,12.6,0,,,S,56,7.3,8.3,68,,S,31,1026,12.2,60,8,S,35,1025.6
08-06-2017,5.7,17.2,0,,,SSE,22,0.02,10.2,78,6,SSE,9,1028.3,16.4,51,,NW,11,1025.4
09-06-2017,5.5,13.5,0.4,,,SE,33,13.12,9.9,85,1,ESE,6,1029.8,12,68,8,SE,17,1030.2
10-06-2017,5.1,14.1,0,,,SSE,30,10.39,10.2,77,1,SSE,13,1035,12.9,64,7,SE,7,1032.9
11-06-2017,-0.1,16,0,,,E,17,20.52,4.4,99,8,SSE,7,1031.8,15.3,63,,WSW,7,1026.8
12-06-2017,-1.7,15.2,0.2,,,W,15,16.45,4.2,99,8, ,Calm,1028.4,14.3,57,1,W,7,1025.5
13-06-2017,-3,15.7,0,,,W,17,15.4,3.6,88,,NNW,2,1032.6,15.3,53,,WSW,6,1030.5
14-06-2017,-3.1,15.3,0.2,,,NNW,20,13.05,2.2,99,8,SSE,6,1033.9,14.8,57,,NNW,15,1029.9
15-06-2017,-2.8,9.9,0.2,,,NNW,11,11.27,2.5,99,8,WSW,7,1029.9,9.5,71,8,SW,9,1027
16-06-2017,-2,11.5,0.2,,,SW,11,9.2,3,99,8,SSW,6,1027.9,11.2,70,8,W,7,1025.2
17-06-2017,2.9,13,0,,,NNW,13,2.56,9.2,89,8,SE,7,1026.2,12.8,71,8,SSW,6,1023.8
18-06-2017,0.8,15,0,,,SSE,33,10.4,7.3,80,,ESE,9,1029.6,14.7,41,,SSW,13,1028.3
19-06-2017,-3.6,15.7,0,,,NW,15,13.1,2.2,96,, ,Calm,1033.7,15.5,44,,NW,7,1030.1
20-06-2017,-2.9,13.3,0,,,NW,24,16.22,3.3,99,7,SSE,6,1031.3,12.9,69,,WSW,11,1026.6
21-06-2017,-2.4,14.7,0.2,,,WSW,15,15.27,0.1,99,2,S,6,1029.2,14.5,50,,SW,11,1026.5
22-06-2017,-0.4,13.9,0,,,NW,37,12.53,4,99,7,NNW,2,1029.9,13.3,56,,NNW,22,1025.6
23-06-2017,-2.9,13.3,0.4,,,NNW,35,14.12,0.1,99,8,N,7,1022.2,12.4,54,,NNW,22,1016.6
24-06-2017,0.1,14.4,0,,,NW,48,14.33,9.1,68,,N,20,1017.5,13,45,,NW,28,1016.2
25-06-2017,-4.3,14.5,0,,,WNW,54,13.38,2.3,81,,SE,9,1018.9,12,49,,WNW,28,1016.5
26-06-2017,-3.2,13.8,0,,,NNW,28,13.45,4.8,90,1,SE,9,1023.2,12.8,50,1,N,13,1022.5
27-06-2017,-4.1,11.3,0,,,NNW,17,13.09,2.3,94,, ,Calm,1028,10.5,62,8,NNW,9,1024.5
28-06-2017,2.1,12.4,0,,,N,30,15.59,5.8,97,7,S,2,1024.1,11.7,59,5,NNW,20,1021.8
29-06-2017,-4.1,10.6,0.2,,,NW,24,21.32,-0.3,99,8,N,7,1023.7,9.8,65,1,WNW,15,1020.2
30-06-2017,-4.3,11.5,0,,,S,28,11.02,1.8,89,, ,Calm,1027,10.6,35,,W,15,1026
01-07-2017,-8.7,12.1,0,,,S,24,0.1,-0.5,81,,N,2,1032.3,11.7,37,,N,6,1029.1
02-07-2017,-8.2,13.8,0,,,NNW,19,14.47,-0.3,87,,WNW,6,1029.1,13.5,26,,NNW,11,1024
03-07-2017,-7.1,10.6,0,,,NW,33,23.33,-1.1,81,8,NNW,9,1021.8,8.9,64,8,SW,7,1015.3
04-07-2017,-1.1,13.9,0,,,NW,57,15.33,9.1,63,,NNW,30,1013.9,10.7,67,5,NW,33,1012.3
05-07-2017,6.6,13.3,0,,,NNW,41,8.53,8.9,82,2,NNW,31,1014.4,9.8,77,6,WNW,17,1012.4
06-07-2017,-2.3,12.7,1.6,,,NW,35,13.31,4.9,91,,SE,7,1019,11.8,45,,WNW,24,1015.6
07-07-2017,-2.6,12.3,0.6,,,NW,44,13.59,2.1,99,8, ,Calm,1013.7,11,46,7,WNW,26,1011
08-07-2017,-5.1,11.8,0,,,NW,35,12.31,2.3,99,,SW,6,1016.9,10.4,66,7,NW,19,1016.1
09-07-2017,2.3,11.6,0.2,,,WNW,39,12.14,6.6,83,8,NNW,19,1021.5,9.3,66,8,WNW,22,1019.8
10-07-2017,-3.5,12.2,0,,,NW,31,15.01,1.7,96,8,SE,6,1027.9,11.1,51,,NW,24,1025.8
11-07-2017,-6,13.3,0,,,W,20,15.1,-1.4,99,4,N,6,1033.2,12.7,46,4,W,13,1031.7
12-07-2017,-3.6,12.3,0,,,SE,24,8.22,2.3,88,,SE,13,1036.6,11.3,47,,N,6,1032.3
13-07-2017,-5.8,12.7,0.2,,,NW,33,16.07,-0.3,99,8,NNW,2,1030,11.7,51,,NW,22,1024.7
14-07-2017,-2.2,14,0,,,NNW,48,14.43,8.2,80,,NNW,7,1019.7,11.4,61,8,NW,33,1016.2
15-07-2017,-2.5,10.8,0.6,,,WNW,31,14.55,5.1,99,7,SSW,2,1020.4,9.9,49,8,WNW,22,1019.5
16-07-2017,-7,10.5,0,,,N,26,13,-0.4,88,,SW,4,1024.9,10.1,43,,N,13,1021.3
17-07-2017,-5.5,13.7,0,,,NE,41,21.46,-0.6,93,6, ,Calm,1021.3,12.1,55,1,NW,28,1017.3
18-07-2017,-0.6,13.6,4.2,,,NW,57,13.5,8.8,80,,N,17,1014.1,10.3,71,2,NW,26,1010.7
19-07-2017,4.1,13,2.2,,,WNW,44,12.45,7.1,82,2,NW,22,1009.1,12.2,52,8,WNW,31,1009.4
20-07-2017,-1.2,10.8,0,,,NW,44,12.49,6.1,70,,WNW,22,1014.9,9,53,,WNW,31,1014
21-07-2017,-4,12.1,0,,,S,35,10.47,3.5,76,,NNW,6,1023.9,11.5,48,,WNW,11,1022.4
22-07-2017,-7.5,12.8,0,,,NNW,33,14.25,-1.6,99,8,NNE,2,1025,11.9,42,,NNW,26,1020.5
23-07-2017,-1.6,16.2,0,,,NW,52,11.12,7.8,52,,NNW,22,1019.3,14.7,39,,WNW,35,1014.1
